range: +/- 4.096V
rate: 128 SPS
mux: AIN0 - AIN3
mode: Single
raw: [10010011 10000011]
Modulator output = 0
Waiting 10s...
zero crossing function
temp reading fn
i: 25.9375, s: 40.0000, e: 14.0625, i: 0.6646, d: 0.5000, PT: 0.5625, IT: 0.6646, DT: 1.0500, O: 0.1771
i: 26.1250, s: 40.0000, e: 13.8750, i: 0.6757, d: 0.1875, PT: 0.5550, IT: 0.6757, DT: 0.3938, O: 0.8370
i: 26.6250, s: 40.0000, e: 13.3750, i: 0.6864, d: 0.5000, PT: 0.5350, IT: 0.6864, DT: 1.0500, O: 0.1714
i: 27.0000, s: 40.0000, e: 13.0000, i: 0.6968, d: 0.3750, PT: 0.5200, IT: 0.6968, DT: 0.7875, O: 0.4293
i: 27.4375, s: 40.0000, e: 12.5625, i: 0.7069, d: 0.4375, PT: 0.5025, IT: 0.7069, DT: 0.9188, O: 0.2906
i: 27.8750, s: 40.0000, e: 12.1250, i: 0.7166, d: 0.4375, PT: 0.4850, IT: 0.7166, DT: 0.9188, O: 0.2828
i: 28.2500, s: 40.0000, e: 11.7500, i: 0.7260, d: 0.3750, PT: 0.4700, IT: 0.7260, DT: 0.7875, O: 0.4084
i: 28.7500, s: 40.0000, e: 11.2500, i: 0.7350, d: 0.5000, PT: 0.4500, IT: 0.7350, DT: 1.0500, O: 0.1350
i: 29.0625, s: 40.0000, e: 10.9375, i: 0.7437, d: 0.3125, PT: 0.4375, IT: 0.7437, DT: 0.6562, O: 0.5250
i: 29.3125, s: 40.0000, e: 10.6875, i: 0.7523, d: 0.2500, PT: 0.4275, IT: 0.7523, DT: 0.5250, O: 0.6548
i: 29.8125, s: 40.0000, e: 10.1875, i: 0.7604, d: 0.5000, PT: 0.4075, IT: 0.7604, DT: 1.0500, O: 0.1179
i: 30.2500, s: 40.0000, e: 9.7500, i: 0.7682, d: 0.4375, PT: 0.3900, IT: 0.7682, DT: 0.9188, O: 0.2395
i: 30.6875, s: 40.0000, e: 9.3125, i: 0.7757, d: 0.4375, PT: 0.3725, IT: 0.7757, DT: 0.9188, O: 0.2294
i: 31.0625, s: 40.0000, e: 8.9375, i: 0.7828, d: 0.3750, PT: 0.3575, IT: 0.7828, DT: 0.7875, O: 0.3528
i: 31.3125, s: 40.0000, e: 8.6875, i: 0.7898, d: 0.2500, PT: 0.3475, IT: 0.7898, DT: 0.5250, O: 0.6123
i: 31.5625, s: 40.0000, e: 8.4375, i: 0.7965, d: 0.2500, PT: 0.3375, IT: 0.7965, DT: 0.5250, O: 0.6090
i: 31.7500, s: 40.0000, e: 8.2500, i: 0.8031, d: 0.1875, PT: 0.3300, IT: 0.8031, DT: 0.3938, O: 0.7394
i: 32.2500, s: 40.0000, e: 7.7500, i: 0.8093, d: 0.5000, PT: 0.3100, IT: 0.8093, DT: 1.0500, O: 0.0693
i: 32.6250, s: 40.0000, e: 7.3750, i: 0.8152, d: 0.3750, PT: 0.2950, IT: 0.8152, DT: 0.7875, O: 0.3227
i: 33.0000, s: 40.0000, e: 7.0000, i: 0.8208, d: 0.3750, PT: 0.2800, IT: 0.8208, DT: 0.7875, O: 0.3133
i: 33.4375, s: 40.0000, e: 6.5625, i: 0.8261, d: 0.4375, PT: 0.2625, IT: 0.8261, DT: 0.9188, O: 0.1698
i: 33.6250, s: 40.0000, e: 6.3750, i: 0.8312, d: 0.1875, PT: 0.2550, IT: 0.8312, DT: 0.3938, O: 0.6924
i: 33.8125, s: 40.0000, e: 6.1875, i: 0.8361, d: 0.1875, PT: 0.2475, IT: 0.8361, DT: 0.3938, O: 0.6899
i: 34.0625, s: 40.0000, e: 5.9375, i: 0.8409, d: 0.2500, PT: 0.2375, IT: 0.8409, DT: 0.5250, O: 0.5534
i: 34.4375, s: 40.0000, e: 5.5625, i: 0.8453, d: 0.3750, PT: 0.2225, IT: 0.8453, DT: 0.7875, O: 0.2803
i: 34.6875, s: 40.0000, e: 5.3125, i: 0.8496, d: 0.2500, PT: 0.2125, IT: 0.8496, DT: 0.5250, O: 0.5371
i: 34.9375, s: 40.0000, e: 5.0625, i: 0.8536, d: 0.2500, PT: 0.2025, IT: 0.8536, DT: 0.5250, O: 0.5311
i: 35.2500, s: 40.0000, e: 4.7500, i: 0.8574, d: 0.3125, PT: 0.1900, IT: 0.8574, DT: 0.6562, O: 0.3912
i: 35.6250, s: 40.0000, e: 4.3750, i: 0.8609, d: 0.3750, PT: 0.1750, IT: 0.8609, DT: 0.7875, O: 0.2484
i: 35.8125, s: 40.0000, e: 4.1875, i: 0.8643, d: 0.1875, PT: 0.1675, IT: 0.8643, DT: 0.3938, O: 0.6380
i: 36.0625, s: 40.0000, e: 3.9375, i: 0.8674, d: 0.2500, PT: 0.1575, IT: 0.8674, DT: 0.5250, O: 0.4999
i: 36.3125, s: 40.0000, e: 3.6875, i: 0.8704, d: 0.2500, PT: 0.1475, IT: 0.8704, DT: 0.5250, O: 0.4929
i: 36.5625, s: 40.0000, e: 3.4375, i: 0.8731, d: 0.2500, PT: 0.1375, IT: 0.8731, DT: 0.5250, O: 0.4856
i: 36.9375, s: 40.0000, e: 3.0625, i: 0.8756, d: 0.3750, PT: 0.1225, IT: 0.8756, DT: 0.7875, O: 0.2106
i: 37.2500, s: 40.0000, e: 2.7500, i: 0.8778, d: 0.3125, PT: 0.1100, IT: 0.8778, DT: 0.6562, O: 0.3315
i: 37.5000, s: 40.0000, e: 2.5000, i: 0.8798, d: 0.2500, PT: 0.1000, IT: 0.8798, DT: 0.5250, O: 0.4547
i: 37.8750, s: 40.0000, e: 2.1250, i: 0.8815, d: 0.3750, PT: 0.0850, IT: 0.8815, DT: 0.7875, O: 0.1789
i: 38.1250, s: 40.0000, e: 1.8750, i: 0.8830, d: 0.2500, PT: 0.0750, IT: 0.8830, DT: 0.5250, O: 0.4329
i: 38.4375, s: 40.0000, e: 1.5625, i: 0.8842, d: 0.3125, PT: 0.0625, IT: 0.8842, DT: 0.6562, O: 0.2904
i: 38.7500, s: 40.0000, e: 1.2500, i: 0.8852, d: 0.3125, PT: 0.0500, IT: 0.8852, DT: 0.6562, O: 0.2790
i: 38.8750, s: 40.0000, e: 1.1250, i: 0.8861, d: 0.1250, PT: 0.0450, IT: 0.8861, DT: 0.2625, O: 0.6686
i: 39.2500, s: 40.0000, e: 0.7500, i: 0.8867, d: 0.3750, PT: 0.0300, IT: 0.8867, DT: 0.7875, O: 0.1292
i: 39.6250, s: 40.0000, e: 0.3750, i: 0.8870, d: 0.3750, PT: 0.0150, IT: 0.8870, DT: 0.7875, O: 0.1145
i: 39.9375, s: 40.0000, e: 0.0625, i: 0.8871, d: 0.3125, PT: 0.0025, IT: 0.8871, DT: 0.6562, O: 0.2333
i: 40.3125, s: 40.0000, e: -0.3125, i: 0.8868, d: 0.3750, PT: -0.0125, IT: 0.8868, DT: 0.7875, O: 0.0868
i: 40.5625, s: 40.0000, e: -0.5625, i: 0.8864, d: 0.2500, PT: -0.0225, IT: 0.8864, DT: 0.5250, O: 0.3389
i: 40.8750, s: 40.0000, e: -0.8750, i: 0.8857, d: 0.3125, PT: -0.0350, IT: 0.8857, DT: 0.6562, O: 0.1944
i: 41.1250, s: 40.0000, e: -1.1250, i: 0.8848, d: 0.2500, PT: -0.0450, IT: 0.8848, DT: 0.5250, O: 0.3147
i: 41.2500, s: 40.0000, e: -1.2500, i: 0.8838, d: 0.1250, PT: -0.0500, IT: 0.8838, DT: 0.2625, O: 0.5713
i: 41.6250, s: 40.0000, e: -1.6250, i: 0.8825, d: 0.3750, PT: -0.0650, IT: 0.8825, DT: 0.7875, O: 0.0299
