range: +/- 4.096V
rate: 128 SPS
mux: AIN0 - AIN3
mode: Single
raw: [10010011 10000011]
Modulator output = 0
Waiting 10s...
zero crossing function
temp reading fn
i: 56.2, s: 50.0, e: -6.2, i: 0.0, d: 56.2, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 56.2, s: 50.0, e: -6.2, i: 0.0, d: 56.2, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 56.2, s: 50.0, e: -6.2, i: 0.0, d: 56.2, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 56.0, s: 50.0, e: -6.0, i: 0.0, d: 56.0, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 56.0, s: 50.0, e: -6.0, i: 0.0, d: 56.0, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 56.0, s: 50.0, e: -6.0, i: 0.0, d: 56.0, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 56.0, s: 50.0, e: -6.0, i: 0.0, d: 56.0, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 56.0, s: 50.0, e: -6.0, i: 0.0, d: 56.0, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 55.9, s: 50.0, e: -5.9, i: 0.0, d: 55.9, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 55.9, s: 50.0, e: -5.9, i: 0.0, d: 55.9, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 55.9, s: 50.0, e: -5.9, i: 0.0, d: 55.9, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 55.9, s: 50.0, e: -5.9, i: 0.0, d: 55.9, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 55.8, s: 50.0, e: -5.8, i: 0.0, d: 55.8, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 55.8, s: 50.0, e: -5.8, i: 0.0, d: 55.8, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 55.7, s: 50.0, e: -5.7, i: 0.0, d: 55.7, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 55.7, s: 50.0, e: -5.7, i: 0.0, d: 55.7, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 55.7, s: 50.0, e: -5.7, i: 0.0, d: 55.7, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 55.7, s: 50.0, e: -5.7, i: 0.0, d: 55.7, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 55.6, s: 50.0, e: -5.6, i: 0.0, d: 55.6, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 55.5, s: 50.0, e: -5.5, i: 0.0, d: 55.5, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 55.4, s: 50.0, e: -5.4, i: 0.0, d: 55.4, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 55.4, s: 50.0, e: -5.4, i: 0.0, d: 55.4, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 55.4, s: 50.0, e: -5.4, i: 0.0, d: 55.4, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 55.4, s: 50.0, e: -5.4, i: 0.0, d: 55.4, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 55.3, s: 50.0, e: -5.3, i: 0.0, d: 55.3, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 55.3, s: 50.0, e: -5.3, i: 0.0, d: 55.3, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 55.2, s: 50.0, e: -5.2, i: 0.0, d: 55.2, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 55.2, s: 50.0, e: -5.2, i: 0.0, d: 55.2, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 55.2, s: 50.0, e: -5.2, i: 0.0, d: 55.2, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 55.1, s: 50.0, e: -5.1, i: 0.0, d: 55.1, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 55.1, s: 50.0, e: -5.1, i: 0.0, d: 55.1, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 55.1, s: 50.0, e: -5.1, i: 0.0, d: 55.1, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 55.1, s: 50.0, e: -5.1, i: 0.0, d: 55.1, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 55.1, s: 50.0, e: -5.1, i: 0.0, d: 55.1, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
i: 54.9, s: 50.0, e: -4.9, i: 0.0, d: 54.9, PT: -0.2, IT: 0.0, DT: 0.0, O: 0.000
